"vname","x.mni","y.mni","z.mni","anat_label","hemi","X7_networks"
146,-4.54523,8.23094,29.5,"Left Anterior Cingulate Cortex","L","FPN"
147,-5.34412,-22.5865,30.1359,"Within 2 mm: Left Middle Cingulate Cortex","L","FPN"
148,-5.15282,27.0451,47.56,"Left Superior Medial Gyrus","L","FPN"
149,-57.6045,-4.33941,-28.0407,"Left Inferior Temporal Gyrus","L","Default"
150,-64.5497,-22.1668,-19.4695,"Left Inferior Temporal Gyrus","L","Default"
151,-62.0577,-39.3577,-17.1192,"Left Inferior Temporal Gyrus","L","Default"
152,-59.6794,-10.9029,-13.3029,"Left Middle Temporal Gyrus","L","Default"
153,-55.6709,5.70461,-11.0859,"Left Temporal Pole","L","Default"
154,-63.1408,-36.847,-1.63872,"Left Middle Temporal Gyrus","L","Default"
155,-54.4067,-24.1436,-4.36658,"Left Middle Temporal Gyrus","L","Default"
156,-63.3289,-13.6826,-2.29914,"Left Middle Temporal Gyrus","L","Default"
157,-64.5397,-33.3692,6.0271,"Left Middle Temporal Gyrus","L","Default"
158,-54.7603,-44.0103,5.45147,"Left Middle Temporal Gyrus","L","Default"
159,-60.9815,-49.2391,15.826,"Left Superior Temporal Gyrus","L","Default"
160,-47.6727,-59.7764,18.345,"Left Middle Temporal Gyrus","L","Default"
161,-41.4351,-81.7479,27.9223,"Left Middle Occipital Gyrus","L","Default"
162,-48.1856,-66.6011,27.8683,"Left Angular Gyrus","L","Default"
163,-57.0032,-57.5048,28.0648,"Left Angular Gyrus","L","Default"
164,-43.1884,-74.472,42.5443,"Left Angular Gyrus","L","Default"
165,-50.0308,-62.8268,47.296,"Within 1 mm: Left Angular Gyrus","L","Default"
166,-37.3876,22.4934,-16.0971,"Left Inferior Frontal Gyrus (p. Orbitalis)","L","Default"
167,-39.2394,36.7992,-13.9735,"Left Inferior Frontal Gyrus (p. Orbitalis)","L","Default"
168,-5.69972,54.7391,-13.6407,"Left Mid Orbital Gyrus","L","Default"
169,-6.88077,34.3192,-10.3038,"Left Mid Orbital Gyrus","L","Default"
170,-48.3134,30.8349,-10.6163,"Left Inferior Frontal Gyrus (p. Orbitalis)","L","Default"
171,-29.6864,59.6414,-4.34286,"Left Superior Orbital Gyrus","L","Default"
172,-49.7591,27.2136,0.231819,"Left Inferior Frontal Gyrus (p. Triangularis)","L","Default"
173,-7.71416,58.6938,1.60487,"Left Superior Medial Gyrus","L","Default"
174,-7.33041,43.6427,4.32105,"Left Anterior Cingulate Cortex","L","Default"
175,-55.5478,18.367,11.5543,"Left Inferior Frontal Gyrus (p. Triangularis)","L","Default"
176,-19.0057,67.8637,5.16565,"Left Superior Frontal Gyrus","L","Default"
177,-6.45302,33.6719,21.1983,"Left Anterior Cingulate Cortex","L","Default"
178,-5.87827,52.7615,25.0298,"Left Superior Medial Gyrus","L","Default"
179,-16.6829,59.0605,27.6884,"Left Superior Frontal Gyrus","L","Default"
180,-26.3436,50.4639,30.3635,"Left Middle Frontal Gyrus","L","Default"
181,-28.4496,26.6955,45.0593,"Left Middle Frontal Gyrus","L","Default"
182,-44.0047,14.603,50.9241,"Left Middle Frontal Gyrus","L","Default"
183,-10.3276,42.1062,51.5143,"Left Superior Medial Gyrus","L","Default"
184,-21.6299,35.7995,48.0252,"Left Superior Frontal Gyrus","L","Default"
185,-43.3634,3.11137,51.3687,"Left Precentral Gyrus","L","Default"
186,-32.2977,10.3291,59.9036,"Left Middle Frontal Gyrus","L","Default"
187,-25.3289,15.5349,55.9384,"Left Middle Frontal Gyrus","L","Default"
188,-14.476,20.4784,63.9301,"Left Superior Frontal Gyrus","L","Default"
189,-7.38226,8.19444,66.0403,"Left SMA","L","Default"
190,-9.52583,-52.1742,10.41,"Left Precuneus","L","Default"
191,-14.4426,-61.2603,20.4578,"Left Cuneus","L","Default"
192,-5.24265,-53.9713,20.486,"Left Precuneus","L","Default"
193,-7.43906,-41.3594,24.3969,"Left Posterior Cingulate Cortex","L","Default"
194,-11.8573,-70.8805,33.1319,"Left Precuneus","L","Default"
195,-6.30158,-61.1849,30.8998,"Left Precuneus","L","Default"
196,-8.75484,-45.3032,33.4199,"Left Middle Cingulate Cortex","L","Default"
197,-4.95644,-35.4921,39.6079,"Left Middle Cingulate Cortex","L","Default"
198,-3.625,-13.8375,38.775,"Left Middle Cingulate Cortex","L","Default"
199,-4.41988,-70.4151,41.8452,"Left Precuneus","L","Default"
200,-7.53507,-52.7489,44.3728,"Left Precuneus","L","Default"
201,32.0702,-37.3889,-22.1068,"Right Fusiform Gyrus","R","Vis"
202,29.5074,-30.4653,-17.7978,"Right Fusiform Gyrus","R","Vis"
203,32.7424,-56.9481,-16.5,"Right Fusiform Gyrus","R","Vis"
204,35.898,-75.1054,-14.5608,"Right Fusiform Gyrus","R","Vis"
205,24.7739,-54.5859,-7.79548,"Right Lingual Gyrus","R","Vis"
206,21.8582,-76.8643,-10.1812,"Right Lingual Gyrus","R","Vis"
207,17.0256,-36.0073,-12.0683,"Right Lingual Gyrus","R","Vis"
208,18.4,-88.8729,-12.1957,"Right Lingual Gyrus","R","Vis"
209,49.2696,-64.9954,-10.0929,"Right Inferior Temporal Gyrus","R","Vis"
210,41.0259,-84.7,-12.3295,"Right Inferior Occipital Gyrus","R","Vis"
211,7.62981,-74.6707,-3.90529,"Right Lingual Gyrus","R","Vis"
212,11.8297,-59.538,-2.55434,"Right Lingual Gyrus","R","Vis"
213,23.0318,-97.5227,-10.2136,"Right Lingual Gyrus","R","Vis"
214,16.9555,-44.9409,-1.99878,"Right Lingual Gyrus","R","Vis"
215,7.50597,-93.2348,-1.79777,"Left Calcarine Gyrus","R","Vis"
216,47.9676,-66.5209,4.63564,"Right Middle Temporal Gyrus","R","Vis"
217,13.384,-47.0926,5.10532,"Right Lingual Gyrus","R","Vis"
218,32.473,-92.0609,1.62704,"Right Middle Occipital Gyrus","R","Vis"
219,8.04504,-74.5731,9.58815,"Right Calcarine Gyrus","R","Vis"
220,20.3029,-60.189,6.78363,"Right Calcarine Gyrus","R","Vis"
221,20.9328,-100.553,8.14387,"Right Cuneus","R","Vis"
222,40.3368,-82.5271,9.31766,"Right Middle Occipital Gyrus","R","Vis"
223,11.6623,-95.2617,19.8414,"Right Cuneus","R","Vis"
224,14.8245,-66.3,20.2791,"Right Cuneus","R","Vis"
225,4.09789,-81.2608,24.3007,"Right Cuneus","R","Vis"
226,25.0827,-89.1357,21.1744,"Right Superior Occipital Gyrus","R","Vis"
227,33.4326,-81.7045,23.447,"Right Middle Occipital Gyrus","R","Vis"
228,12.8026,-78.4159,34.5851,"Right Cuneus","R","Vis"
229,14.0864,-88.2029,36.8626,"Right Cuneus","R","Vis"
230,27.3437,-80.0409,35.0266,"Right Superior Occipital Gyrus","R","Vis"
231,52.6298,3.5798,-5.95602,"Right Temporal Pole","R","SomMot"
