"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","nodename","nodenum","metric","term","std.error","community.membership","community.name"
"26",0.0856750907344746,NA,NA,3.02099325798095,0.00340594804461974,NA,NA,NA,NA,NA,"Within 1 mm: Left Insula Lobe","V57","within.mod","age",0.0283599079568071,1,"SOMMOTOR"
"27",0.157094509234189,NA,NA,2.70310580063851,0.00856397344815992,NA,NA,NA,NA,NA,"Left Thalamus","V223","central","age:groupBPD",0.0581163005891523,5,"DMN"
"28",-0.132627748585409,NA,NA,-3.11412890672911,0.00257005299650211,NA,NA,NA,NA,NA,"Right Middle Frontal Gyrus","V196","central","age:groupBPD",0.0425890361503093,2,"FPN/DA"
"29",-0.0639885889033536,NA,NA,-3.16636576444449,0.00219377520923731,NA,NA,NA,NA,NA,"Left Cerebellum","V243","integration","age:groupBPD",0.0202088430913097,1,"SOMMOTOR"
"30",0.0658412945268071,NA,NA,2.70139288333478,0.00862914098400088,NA,NA,NA,NA,NA,"Left Fusiform Gyrus","V8","integration","age:groupBPD",0.0243730909831702,3,"OCC"
"31",-0.108104701573294,NA,NA,-2.69738816214484,0.00856112872764416,NA,NA,NA,NA,NA,"Left Middle Temporal Gyrus","V118","integration","age:groupBPD",0.0400775472697759,4,"CO"
"32",0.0871803347233464,NA,NA,3.19731295053455,0.00199580799022835,NA,NA,NA,NA,NA,"Left Precentral Gyrus","V187","integration","age:groupBPD",0.027266750572155,2,"FPN/DA"
"33",0.14978868547221,NA,NA,2.73640749444288,0.00770858311392816,NA,NA,NA,NA,NA,"Right Paracentral Lobule","V39","integration","age:groupBPD",0.0547391738169122,1,"SOMMOTOR"
"34",0.0890386000044461,NA,NA,3.1288769295445,0.00245813638015786,NA,NA,NA,NA,NA,"Right Superior Medial Gyrus","V106","integration","age:groupBPD",0.0284570476913607,4,"CO"
"35",0.105742876610267,NA,NA,2.83192719779461,0.00586751019761883,NA,NA,NA,NA,NA,"Right Precuneus","V95","within.mod","age:groupBPD",0.0373395462611522,5,"DMN"
