"roi"	"label"	"coordinates"
91	"Left Precentral Gyrus"	"-55 mm [L],    1 mm [A],   41 mm [S] {MNI}"
92	"Left SupraMarginal Gyrus"	"-60 mm [L],  -37 mm [P],   26 mm [S] {MNI}"
93	"Left SupraMarginal Gyrus"	"-62 mm [L],  -51 mm [P],   28 mm [S] {MNI}"
94	"Left SupraMarginal Gyrus"	"-65 mm [L],  -25 mm [P],   34 mm [S] {MNI}"
95	"Within 2 mm: Left SupraMarginal Gyrus"	"-66 mm [L],  -42 mm [P],   33 mm [S] {MNI}"
96	"Left Middle Temporal Gyrus"	"-60 mm [L],  -56 mm [P],   10 mm [S] {MNI}"
97	"Left Temporal Pole"	"-48 mm [L],    6 mm [A],  -17 mm [I] {MNI}"
98	"Left Insula Lobe"	"-42 mm [L],    2 mm [A],   -5 mm [I] {MNI}"
99	"Left Inferior Frontal Gyrus (p. Triangularis)"	"-37 mm [L],   25 mm [A],   -2 mm [I] {MNI}"
100	"Left Superior Temporal Gyrus"	"-43 mm [L],  -14 mm [P],   -1 mm [I] {MNI}"
101	"Left Insula Lobe"	"-37 mm [L],   19 mm [A],    7 mm [S] {MNI}"
102	"Left Inferior Frontal Gyrus (p. Opercularis)"	"-40 mm [L],    5 mm [A],   11 mm [S] {MNI}"
103	"Left Inferior Frontal Gyrus (p. Opercularis)"	"-49 mm [L],   11 mm [A],    2 mm [S] {MNI}"
104	"Left Rolandic Operculum"	"-54 mm [L],    1 mm [A],    5 mm [S] {MNI}"
105	"Left Inferior Frontal Gyrus (p. Opercularis)"	"-57 mm [L],    8 mm [A],   14 mm [S] {MNI}"
106	"Left Middle Frontal Gyrus"	"-38 mm [L],   41 mm [A],   28 mm [S] {MNI}"
107	"Left Middle Cingulate Cortex"	"-8 mm [L],   22 mm [A],   32 mm [S] {MNI}"
108	"Left Middle Cingulate Cortex"	"-7 mm [L],    5 mm [A],   41 mm [S] {MNI}"
109	"Left Middle Cingulate Cortex"	"-13 mm [L],  -29 mm [P],   44 mm [S] {MNI}"
110	"Left SMA"	"-8 mm [L],   10 mm [A],   50 mm [S] {MNI}"
111	"Left Middle Cingulate Cortex"	"-14 mm [L],  -43 mm [P],   52 mm [S] {MNI}"
112	"Left Precuneus"	"-6 mm [L],  -51 mm [P],   61 mm [S] {MNI}"
113	"Left SMA"	"-7 mm [L],   -5 mm [P],   75 mm [S] {MNI}"
114	"Left Superior Orbital Gyrus"	"-15 mm [L],   26 mm [A],  -23 mm [I] {MNI}"
115	"Left Inferior Frontal Gyrus (p. Orbitalis)"	"-27 mm [L],   24 mm [A],  -21 mm [I] {MNI}"
116	"Within 1 mm: Left Superior Orbital Gyrus"	"-15 mm [L],   48 mm [A],  -24 mm [I] {MNI}"
117	"Left Rectal Gyrus"	"-7 mm [L],   24 mm [A],  -22 mm [I] {MNI}"
118	"Left Superior Orbital Gyrus"	"-16 mm [L],   66 mm [A],  -14 mm [I] {MNI}"
119	"Within 2 mm: Left Inferior Temporal Gyrus"	"-42 mm [L],   -8 mm [P],  -44 mm [I] {MNI}"
120	"Left Medial Temporal Pole"	"-30 mm [L],    5 mm [A],  -41 mm [I] {MNI}"
121	"Left Fusiform Gyrus"	"-30 mm [L],  -10 mm [P],  -33 mm [I] {MNI}"
122	"Within 2 mm: Left Inferior Temporal Gyrus"	"-58 mm [L],  -26 mm [P],  -31 mm [I] {MNI}"
123	"Left Inferior Temporal Gyrus"	"-45 mm [L],  -25 mm [P],  -26 mm [I] {MNI}"
